Q Learning,Optimal,Basic,Random
-0.3066271018793274,-0.05467196819085487,-0.31411530815109345,-0.3497584541062802
-0.17566241413150147,-0.047619047619047616,-0.33632734530938124,-0.3681159420289855
-0.18568665377176016,-0.1541501976284585,-0.3558648111332008,-0.33430515063168126
-0.16536964980544747,-0.13333333333333333,-0.3522388059701492,-0.4057971014492754
-0.1686046511627907,-0.05946481665014866,-0.38095238095238093,-0.3723404255319149
-0.24517374517374518,-0.15773809523809523,-0.37587238285144564,-0.35014272121788775
-0.11467444120505345,-0.02973240832507433,-0.33134920634920634,-0.2927536231884058
-0.19884169884169883,-0.1272365805168986,-0.33663366336633666,-0.36644165863066536
-0.1424390243902439,-0.07661691542288557,-0.34228855721393037,-0.35611164581328203
-0.20441458733205375,-0.10615079365079365,-0.3912611717974181,-0.3917228103946102
-0.16180620884289745,-0.08756218905472637,-0.33067729083665337,-0.3416506717850288
-0.1536231884057971,-0.09108910891089109,-0.3187250996015936,-0.3930635838150289
-0.12666666666666668,-0.07577268195413758,-0.3323412698412698,-0.37054860442733395
-0.2349570200573066,-0.15590863952333664,-0.3382936507936508,-0.3556201550387597
-0.11153846153846154,-0.13293650793650794,-0.37250996015936255,-0.36720997123681687
-0.14396135265700483,-0.0900990099009901,-0.34760956175298807,-0.3897978825794033
-0.10430622009569378,-0.043912175648702596,-0.3247011952191235,-0.33043478260869563
-0.18225650916104147,-0.1067193675889328,-0.3429423459244533,-0.3503861003861004
-0.14875239923224567,-0.073558648111332,-0.34860557768924305,-0.34071222329162654
-0.10917874396135266,-0.09433962264150944,-0.3522388059701492,-0.37799043062200954
-0.13463414634146342,-0.07178464606181456,-0.3253731343283582,-0.38372093023255816
-0.1361111111111111,-0.10934393638170974,-0.3099009900990099,-0.39272030651340994
-0.1509785647716682,-0.06958250497017893,-0.3290386521308226,-0.3892100192678227
-0.19078947368421054,-0.14356435643564355,-0.39303482587064675,-0.430635838150289
-0.14919735599622286,-0.06368159203980099,-0.34097706879361916,-0.3381782945736434
-0.15305164319248826,-0.0998003992015968,-0.38085742771684944,-0.3464114832535885
-0.11322549952426261,-0.048707753479125246,-0.339,-0.33719806763285026
-0.11461318051575932,-0.09371884346959122,-0.32770605759682225,-0.33815028901734107
-0.1419047619047619,-0.06454816285998013,-0.3071570576540755,-0.3978702807357212
-0.12619502868068833,-0.06766169154228856,-0.31678252234359483,-0.34923664122137404
-0.15769593956562794,-0.12974051896207583,-0.3141724479682854,-0.32682926829268294
